WRN 2026-06-04T12:40:09.752 ui.23760   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T21:58:40.991 ui.8858    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T21:58:40.991 ui.8858    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T21:58:40.991 ui.8858    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T21:58:40.991 ui.8858    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T21:58:40.991 ui.8858    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T22:18:03.291 ui.20951   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T22:18:03.291 ui.20951   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T22:18:03.291 ui.20951   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T22:18:03.291 ui.20951   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T22:18:03.291 ui.20951   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T23:28:23.618 ui.18189   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T23:28:23.618 ui.18189   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T23:28:23.618 ui.18189   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T23:28:23.618 ui.18189   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T23:28:23.618 ui.18189   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:29:23.581 ui.11184   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:29:23.581 ui.11184   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:29:23.581 ui.11184   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:29:23.581 ui.11184   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:29:23.581 ui.11184   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
